//NAME|COLOR|EFFECT|AGE|Chaining|Free|Cost//

Academy|Green|S math|3|School|false|Stone,Stone,Stone,Glass
Altar|Blue|VP 2|1| |true| 
Apothecary|Green|S math|1| |false|Loom
Aqueduct|Blue|VP 5|2|Baths|false|Stone,Stone,Stone
Archeryrange|Red|WP 2|2|Workshop|false|Wood,Wood,Ore
Arena|Yellow|VPC |3|Dispensary|false|Stone,Stone,Ore
Arsenal|Red|WP 3|3| |false|Wood,Wood,Ore,Loom
Barracks|Red|WP 1|1| |false|Ore
Baths|Blue|VP 3|1| |false|Stone
Brickyard|Brown|R Clay,Clay|2| |false|C 1
Buildersguild|Purple|VP LRD Wonder|3| |false|Stone,Stone,Clay,Clay,Glass
Caravansery|Yellow|R resourceAll|2|Marketplace|false|Wood,Wood
Claypit|Brown|R Clay/Ore|1| |false|C 1
Claypool|Brown|R Clay|1| |true| 
Courthouse|Blue|VP 4|2|Scriptorium|false|Clay,Clay,Loom
Craftsmenguild|Purple|VP LR silver 2|3| |false|Ore,Ore,Stone,Stone
Dispensary|Green|S math|2|Apothecary|false|Ore,Ore,Glass
Easttradingpost|Yellow|TP R|1| |true| 
Fortifications|Red|WP 3|3|Walls|false|Ore,Ore,Ore,Stone
Forum|Yellow|R Glass/Loom/Papyrus|2|Tradingpost|false|Clay,Clay
Foundry|Brown|R Ore,Ore|2| |false|C 1
Gardens|Blue|VP 5|3|Statue|false|Clay,Clay,Wood
Glassworks|Silver|R Glass|1| |true| 
Glassworks|Silver|R Glass|2| |true| 
Guardtower|Red|WP 1|1| |false|Clay
Haven|Yellow|EFFECT|3|Forum|false|Wood,Ore,Loom
Laboratory|Green|S gear|2|Workshop|false|Clay,Clay,Papyrus

DIVIDER TO CTRL-V

Library|Green|S lit|2|Scriptorium|false|Stone,Stone,Loom
Lighthouse|Yellow|VPC D yellow 1 1|3|Caravansery|false|Stone,Glass
Lodge|Green|S math|3|Dispensary|false|Clay,Clay,Papyrus,Loom
Loom|Gray|R Loom|1| |true| 
Loom|Gray|R Loom|2| |true| 
Lumberyard|Brown|R Wood|1| |true| 
Magistratesguild|Purple|VP LR blue 1|3| |false|Wood,Wood,Stone,Loom
Marketplace|Yellow|TP LR Glass,Papyrus,Loom|1| |true| 
Observatory|Green|S gear|3|Laboratory|false|Ore,Ore,Glass,Loom
